iter	RMSE
0	0.3852823792
1	0.3795088421
2	0.3737698885
3	0.3691647188
4	0.3639520989
5	0.3596996337
6	0.3544028499
7	0.3493846445
8	0.3460351249
9	0.3421715998
10	0.3378712815
11	0.334109698
12	0.3298488957
13	0.3256870976
14	0.3219185842
15	0.3177678289
16	0.3145904401
17	0.3111754824
18	0.3072925626
19	0.3034003566
20	0.3003770894
21	0.2969629912
22	0.2936381374
23	0.2900325008
24	0.2867024816
25	0.283539175
26	0.2802449083
27	0.2773915433
28	0.2742436217
29	0.271882844
30	0.2688146677
31	0.2664856099
32	0.2633218924
33	0.2608000128
34	0.2581574028
35	0.2554032702
36	0.2529988481
37	0.2507108341
38	0.2483794298
39	0.246218684
40	0.2439759931
41	0.2422024269
42	0.2399348346
43	0.2381623267
44	0.2355955147
45	0.2335650769
46	0.2319779144
47	0.2297958948
48	0.2282563623
49	0.2261376604
50	0.2242625112
51	0.2228714162
52	0.2215737714
53	0.220012435
54	0.2187936259
55	0.2175387326
56	0.216364614
57	0.2148423648
58	0.213418842
59	0.2113306679
60	0.2100180551
61	0.2083992854
62	0.2071941553
63	0.2056626455
64	0.2041911353
65	0.2032666737
66	0.2019965622
67	0.2009151491
68	0.2002052231
69	0.1986776134
70	0.1973257672
71	0.1962527129
72	0.1951684666
73	0.194438805
74	0.1935840722
75	0.1924993413
76	0.1910435427
77	0.1897999176
78	0.1885916432
79	0.1878720451
80	0.187071579
81	0.1858324119
82	0.1845356565
83	0.1834468336
84	0.1820848041
85	0.181045109
86	0.1799569997
87	0.1791980535
88	0.1781915797
89	0.1772770319
90	0.1763173817
91	0.1756484893
92	0.1751601537
93	0.1744396694
94	0.1739429075
95	0.1730209411
96	0.1724855412
97	0.1721120741
98	0.171561099
99	0.1708918533
100	0.170108101
101	0.1694402169
102	0.1689329676
103	0.1683636389
104	0.1679631618
105	0.1673274945
106	0.1667548766
107	0.1662654899
108	0.1656838152
109	0.1652165926
110	0.1646729501
111	0.1640269422
112	0.1634385935
113	0.1627658634
114	0.1624973775
115	0.1617575992
116	0.1608918773
117	0.1605257933
118	0.1601208114
119	0.1598799032
120	0.1592635775
121	0.159002804
122	0.1583398218
123	0.157911837
124	0.1576318827
125	0.1570612891
126	0.1563435237
127	0.156004992
128	0.1553890587
129	0.1548922423
130	0.1544540954
131	0.1539017618
132	0.1534520282
133	0.1531438583
134	0.1527511934
135	0.152210421
136	0.1517857512
137	0.1513439986
138	0.1508567255
139	0.1504897476
140	0.1501165887
141	0.1497940947
142	0.149379129
143	0.1488560458
144	0.1485094245
145	0.1481418727
146	0.1478018259
147	0.1470198949
148	0.1466763086
149	0.1462149438
150	0.1459166979
151	0.1456389876
152	0.1451237102
153	0.1447804178
154	0.1445639346
155	0.1441535812
156	0.1439503402
157	0.1437383968
158	0.1436010277
159	0.1432846024
160	0.143058763
161	0.142932313
162	0.1425279898
163	0.1421507063
164	0.1418685361
165	0.1416675677
166	0.1414115117
167	0.1412666347
168	0.1410475145
169	0.1409313778
170	0.140591139
171	0.1404634889
172	0.140063474
173	0.1399056291
174	0.1398083512
175	0.1394385208
176	0.1393323529
177	0.1392193593
178	0.139097286
179	0.1390062049
180	0.138760257
181	0.138407848
182	0.1383167537
183	0.138096736
184	0.137798438
