iter	RMSE
185	0.1375178625
186	0.1373458423
187	0.137162864
188	0.1369647266
189	0.1367584842
190	0.1364984287
191	0.1363867578
192	0.1361456897
193	0.136062616
194	0.1358493274
195	0.1357148114
196	0.1355162362
197	0.1353596135
198	0.1352464872
199	0.1351970777
200	0.1351164634
201	0.1348663873
202	0.1347109636
203	0.1345199943
204	0.1343078843
205	0.1340764897
206	0.1339675776
207	0.1338283128
208	0.1336142603
209	0.1333196292
210	0.1331617739
211	0.1330313653
212	0.1328761099
213	0.1326540589
214	0.1325366941
215	0.1323970317
216	0.1321820718
217	0.1320797051
218	0.1319917119
219	0.1319111091
220	0.1317238122
221	0.1316390131
222	0.1314510763
223	0.1313388938
224	0.1312903061
225	0.1312837918
226	0.1310241003
227	0.1306717901
228	0.1305502944
229	0.1304284156
230	0.1302044706
231	0.1300644162
232	0.1299598199
233	0.1298336717
234	0.1296926055
235	0.1293122384
236	0.1291534489
237	0.1289697479
238	0.1288360197
239	0.1286373155
240	0.1285560972
241	0.1284822076
242	0.1282876482
243	0.1281647635
244	0.1279837817
245	0.1278516935
246	0.1277084717
247	0.1275258442
248	0.1273872131
249	0.1272910122
250	0.1271711739
251	0.1269844678
252	0.1268551793
253	0.1265949848
254	0.1263877433
255	0.1262319867
256	0.1261332607
257	0.125992143
258	0.1258018719
259	0.1257047737
260	0.125595568
261	0.1254319586
262	0.1252578466
263	0.1250141728
264	0.1249766804
265	0.1248302786
266	0.1247187562
267	0.1244302882
268	0.1242824934
269	0.1241359431
270	0.1240497564
271	0.1239761282
272	0.1237374417
273	0.1236195104
274	0.1235458137
275	0.1233385367
276	0.123093839
277	0.1229015594
278	0.1227316988
279	0.1226439052
280	0.122453994
281	0.122262206
282	0.1220901141
283	0.1219396504
284	0.1218555191
285	0.1217609082
286	0.1215838984
287	0.121414956
288	0.1211773264
289	0.1210780034
290	0.1209237971
291	0.120778485
292	0.1206316553
293	0.120423081
294	0.120353356
295	0.1202345915
296	0.1200630453
297	0.1198890067
298	0.1197244731
299	0.1194660817
300	0.1193205706
301	0.1191875697
302	0.1190846835
303	0.1188513925
304	0.1187450084
305	0.1186152008
306	0.118294502
307	0.1180761575
308	0.1179623919
309	0.1177835263
310	0.1176593375
311	0.1174883922
312	0.1173618512
313	0.1173120025
314	0.1172389973
315	0.1170976518
316	0.1169148233
317	0.1167289921
318	0.1166254469
319	0.1165003473
320	0.1163294701
321	0.1162275539
322	0.1161063813
323	0.1159505971
324	0.1158228944
325	0.1156493341
326	0.1155491484
327	0.115388786
328	0.1152302613
329	0.1150687428
330	0.1149274845
331	0.1148585924
332	0.1147463621
333	0.1145833211
334	0.1144935219
335	0.1144344676
336	0.1143033755
337	0.1141439816
338	0.1140082958
339	0.1139238267
340	0.1137451564
341	0.113583596
342	0.1134656467
343	0.113402464
344	0.1133273387
345	0.113185321
346	0.1131124865
347	0.1130009667
348	0.1128329213
349	0.1127495608
350	0.1125587451
351	0.112452925
352	0.1122895045
353	0.1122084756
354	0.1120768943
355	0.1118694897
356	0.1117042173
357	0.1115642154
358	0.1113872391
359	0.1112405581
360	0.1111266413
361	0.1109480561
362	0.1108744688
363	0.1107908283
364	0.1107860458
365	0.1105869295
366	0.1104937825
367	0.1103453087
368	0.110323901
369	0.1102310642
370	0.1101246313
371	0.1100606038
372	0.1099455708
373	0.1098306115
374	0.109787199
375	0.1096989331
376	0.1096261875
377	0.1094640241
378	0.1093290438
379	0.109194492
380	0.1090418561
381	0.1089616338
382	0.1088484047
383	0.108739028
384	0.1086491818
385	0.1085245969
386	0.1084422258
387	0.1083657529
388	0.1082790565
389	0.1081609531
390	0.1080780952
391	0.1079743532
392	0.1078853427
393	0.1077500903
394	0.1075611458
395	0.1074441746
396	0.1073662245
397	0.1072725058
398	0.1071788881
399	0.1071217029
400	0.1070399195
401	0.1069146101
402	0.1067777314
403	0.1066946741
404	0.106567458
405	0.1064813701
406	0.1064722746
407	0.1063443477
408	0.1062765837
409	0.1062132909
410	0.1060892921
411	0.1060109633
412	0.105935762
413	0.1059227096
414	0.1058720996
415	0.1057533169
416	0.105667105
417	0.1055590953
418	0.1054754064
419	0.1054265016
420	0.1053705875
421	0.1052909612
422	0.1052410476
423	0.1052229214
424	0.1051774655
425	0.1050944614
426	0.1050421794
427	0.104994842
428	0.1049828368
429	0.1049316405
430	0.1048043585
431	0.1047967367
432	0.1047440291
433	0.1046660728
434	0.104584785
435	0.1045732458
436	0.104455229
437	0.1044438591
438	0.104362466
439	0.1043247394
440	0.1042177642
441	0.1041854003
442	0.1041793054
443	0.1041497816
444	0.1041146284
445	0.1040535234
446	0.1040500883
447	0.1040147567
448	0.1038523663
449	0.1038052583
450	0.1037020743
451	0.1035880645
452	0.1034662446
453	0.1033877485
454	0.1033154928
455	0.1032957053
456	0.1032129544
457	0.1030976352
458	0.1030837317
459	0.1029978391
460	0.1029346529
461	0.1028690569
462	0.1028165879
463	0.1027028799
464	0.1026245155
465	0.10255925
466	0.1024795063
467	0.1024632645
468	0.1024556932
469	0.1024397649
470	0.1024134778
471	0.1023729743
472	0.1023628933
473	0.102300646
474	0.1022924608
475	0.1022906328
476	0.1021793679
477	0.1021639408
478	0.1020607564
479	0.1019833123
480	0.1019201465
481	0.1018532214
482	0.1018091639
483	0.1016735585
484	0.1015564361
485	0.1014883458
486	0.1014109604
487	0.1013367221
488	0.1012910476
489	0.1012590169
490	0.1012443539
491	0.1011958031
492	0.1010918232
493	0.1010498497
494	0.1009957186
495	0.1009925787
496	0.1009806603
497	0.1009187915
498	0.1008273729
499	0.1007360906
500	0.1006538608
501	0.1005794717
502	0.1005674276
503	0.1004544328
504	0.1004128792
505	0.1003428792
506	0.1002968079
507	0.1002438853
508	0.1001580649
509	0.1000684267
510	0.09996529005
511	0.09993044391
512	0.09983771841
513	0.09982874892
514	0.099795294
515	0.09978066869
516	0.09973781682
517	0.09968398976
518	0.0996297477
519	0.0995682563
520	0.09946195489
521	0.09939315205
522	0.09938933529
523	0.09935969746
524	0.09927772127
525	0.09921615175
526	0.09921435788
527	0.09911291498
528	0.09904602963
529	0.0990410397
530	0.09898206081
531	0.09893644931
532	0.09887795573
533	0.09882207603
534	0.09871867189
535	0.09861657705
536	0.09859968005
537	0.09858862721
538	0.09852906006
539	0.09846451246
540	0.09842445981
541	0.09837808123
542	0.09832917472
543	0.09831618372
544	0.09820464611
545	0.09812137487
546	0.09807496371
547	0.09805566776
548	0.09797616164
549	0.09794689778
550	0.09786187599
551	0.09780709922
552	0.09778492929
553	0.09774065775
554	0.09773907859
555	0.09764700341
556	0.09762659165
557	0.09755989567
558	0.0975178486
559	0.09748256437
560	0.097462773
561	0.09739663279
562	0.09738442116
563	0.0973401265
564	0.09728867385
565	0.09724821583
566	0.09722211766
567	0.09716459861
568	0.09712113959
569	0.09709452415
570	0.09703781013
571	0.09696227896
572	0.09689121755
573	0.0968391895
574	0.09679410047
575	0.09668592815
576	0.09667415309
577	0.09661699901
578	0.09655563083
579	0.09647316264
580	0.09640455904
581	0.09634917715
582	0.09629568619
583	0.09623987094
584	0.09619421753
585	0.09615573591
586	0.09611922497
587	0.09608866006
588	0.09605677247
589	0.09598620437
590	0.09593653866
591	0.09590149595
592	0.09585250282
593	0.09579743916
594	0.09573566446
595	0.09571345032
596	0.09569701596
597	0.09560274446
598	0.09558872486
599	0.09556012034
600	0.09552205142
601	0.095498012
602	0.09549443714
603	0.09549091207
604	0.09539789334
605	0.09535752443
606	0.09532244461
607	0.09527583503
608	0.09523803533
609	0.09521045232
610	0.0951358505
611	0.09511870831
612	0.09507654718
613	0.09505940221
614	0.09501532335
615	0.09499130603
616	0.09494962928
617	0.09492020761
618	0.0949015423
619	0.09486613315
620	0.0947942611
621	0.09474359034
622	0.09470251983
623	0.09462071774
624	0.09459506419
625	0.09455107383
626	0.09453367651
627	0.09448568782
628	0.09448364047
629	0.09437160067
630	0.09435684382
631	0.09432950129
632	0.09429610193
633	0.09426399813
634	0.09422200947
635	0.09418413989
636	0.09407615474
637	0.09401683922
638	0.09398578974
639	0.09395589076
640	0.09389605208
641	0.09386380238
642	0.09382878
643	0.09380046537
644	0.09373954434
645	0.09373093892
646	0.09367383231
647	0.09366967141
648	0.09364369303
649	0.09355039354
650	0.09351760636
651	0.09346924203
652	0.09346891915
653	0.09345328414
654	0.09341194082
655	0.09335223349
656	0.0932603304
657	0.09319812043
658	0.09318092352
659	0.09312494822
660	0.09305634082
661	0.09301802651
662	0.09298026374
663	0.09295529704
664	0.09292596421
665	0.09291158509
666	0.0928860639
667	0.09285973905
668	0.09282881173
669	0.09280266477
670	0.09276723694
671	0.09275882941
672	0.09268437788
673	0.09264776325
674	0.0926073056
675	0.09256284976
676	0.09246930041
677	0.09244552262
678	0.0924014797
679	0.09239439775
680	0.09233492124
681	0.09224169095
682	0.09221649075
683	0.09211039338
684	0.0920873282
685	0.09208396671
686	0.0920673213
687	0.09204518764
688	0.09202115521
689	0.09196739985
690	0.09196015686
691	0.09195684928
692	0.09193374119
693	0.09192612698
694	0.09188531765
695	0.0918346821
696	0.09183146289
697	0.0918104987
698	0.09175324676
699	0.09169641286
700	0.0916533228
701	0.0916433942
702	0.0915909993
703	0.0914446492
704	0.09139704984
705	0.09137302533
706	0.09133552021
707	0.0913286709
708	0.09126931576
709	0.09123458715
710	0.0912088528
711	0.09119936132
712	0.09116556732
713	0.09113545434
714	0.0910955665
715	0.09108840366
716	0.09106778567
717	0.09099020152
718	0.09094841434
719	0.09090795624
720	0.09089772633
721	0.09087402606
722	0.09084212499
723	0.09083580437
724	0.09082400864
725	0.09075728922
726	0.09074270381
727	0.09072264233
728	0.09071963167
729	0.09069371686
730	0.09068736474
731	0.09065104982
732	0.09062161064
733	0.09058516623
734	0.09055242463
735	0.09051639657
736	0.09050744826
737	0.09050451545
738	0.09049582101
739	0.0904822398
740	0.09044134702
741	0.09041402961
742	0.09039399918
743	0.09035753122
744	0.09027347153
745	0.09023441312
746	0.09023070914
747	0.09020295993
748	0.09016107454
749	0.09015400394
750	0.09014291473
751	0.09009106253
752	0.0900364883
753	0.08999334101
754	0.08998265805
755	0.08997687895
756	0.0899348528
757	0.08982296124
758	0.08980569189
759	0.08980153658
760	0.08975844612
761	0.08975023457
762	0.08971105938
763	0.08958559037
764	0.08955629144
765	0.08954833466
766	0.08952755597
767	0.08944276634
768	0.0893863448
769	0.08937757391
770	0.08934770661
771	0.08926780949
772	0.08924480521
773	0.08923388613
774	0.08919173229
775	0.08914799012
776	0.08908387752
777	0.08905326527
778	0.08901660997
779	0.08896916077
780	0.08895454328
781	0.08891258192
782	0.08890482972
783	0.08890079271
784	0.08887227465
785	0.08886721338
786	0.08884778593
787	0.088817637
788	0.08876897436
789	0.08872899169
790	0.08868763329
791	0.08865497348
792	0.08865173625
793	0.08853356336
794	0.08849663519
795	0.08848593997
796	0.08844778289
797	0.08842502999
798	0.08839676965
799	0.08839341334
800	0.08836959192
801	0.08834347307
802	0.08833317941
803	0.08832916948
804	0.08832412709
805	0.08829763928
806	0.0882088976
807	0.08818751825
808	0.08816052424
809	0.08815513376
810	0.0881330118
811	0.08809675149
812	0.08807882279
813	0.08802196873
814	0.08800380231
815	0.08797567541
816	0.08794368454
817	0.08791430285
818	0.08789097215
